booking_id,passenger_id,flight_id,booking_date,status,seat_number
B1973,P1612,SJ033,2025-04-28,CANCELLED,8C
B1974,P1676,AI210,2025-08-03,PENDING,15B
B1975,P1462,UK148,2025-08-26,,20E
B1976,P1540,AI229,2025-08-27,PENDING,16F
B1977,P1625,UK005,2026-01-01,PENDING,4A
B1978,P1618,SJ080,2025-12-07,CONFIRMED,12C
B1979,P1921,SJ092,2025-12-02,CANCELLED,1F
B1980,P1363,SJ055,2025-12-04,CANCELLED,15A
B1981,P1129,AI239,2025-05-17,CONFIRMED,19D
B1982,P1083,6F162,2025-06-17,,7A
B1983,P1270,UK101,2025-06-28,,27A
B1984,P1243,6F198,2025-04-25,CONFIRMED,27F
B1985,P1387,6F239,2025-09-28,CONFIRMED,31F
B1986,P1213,SJ177,2025-10-07,CONFIRMED,13F
B1987,P1817,6F044,2026-03-12,CANCELLED,19F
B1988,P1165,6F248,2026-02-17,PENDING,13A
B1989,P1790,6F002,2025-12-10,,16F
B1990,P1058,SJ197,2026-03-31,CONFIRMED,14B
B1991,P1601,UK091,2026-01-14,CANCELLED,22E
B1992,P1882,6F215,2025-04-25,CONFIRMED,25C
B1993,P1842,AI093,2026-03-11,CANCELLED,5B
B1994,P1923,UK090,2026-03-31,CONFIRMED,21D
B1995,P1503,SJ005,2025-11-20,CANCELLED,11C
B1996,P1705,UK106,2025-08-08,CANCELLED,27E
B1997,P1122,6F223,2025-05-03,PENDING,27B
B1998,P1647,6F011,2025-10-23,CONFIRMED,14C
B1999,P1412,UK124,2025-08-08,INVALID,12B
